"ConditionName","ConditionSNOMED","PathogenName","PathogenTaxonID","Fatalities","CountryName","CountryISO","Admin1Name","Admin1ISO","Admin2Name","CityName","PeriodStartDate","PeriodEndDate","PartOfCumulativeCountSeries","AgeRange","Subpopulation","PlaceOfAcquisition","DiagnosisCertainty","SourceName","CountValue"
"Dengue","38362002","Dengue virus","12637","0","MALAYSIA","MY","JOHOR","MY-01","NA","NA","2000-10-01","2000-10-31","0","0-130","None specified","NA","NA","Malaysia Dengue Surveillance System","229"
"Dengue","38362002","Dengue virus","12637","0","MALAYSIA","MY","JOHOR","MY-01","NA","NA","2000-11-01","2000-11-30","0","0-130","None specified","NA","NA","Malaysia Dengue Surveillance System","249"
"Dengue","38362002","Dengue virus","12637","0","MALAYSIA","MY","JOHOR","MY-01","NA","NA","2000-12-01","2000-12-31","0","0-130","None specified","NA","NA","Malaysia Dengue Surveillance System","232"
"Dengue","38362002","Dengue virus","12637","0","MALAYSIA","MY","JOHOR","MY-01","NA","NA","2001-01-01","2001-01-31","0","0-130","None specified","NA","NA","Malaysia Dengue Surveillance System","114"
"Dengue","38362002","Dengue virus","12637","0","MALAYSIA","MY","JOHOR","MY-01","NA","NA","2001-02-01","2001-02-28","0","0-130","None specified","NA","NA","Malaysia Dengue Surveillance System","123"
"Dengue","38362002","Dengue virus","12637","0","MALAYSIA","MY","JOHOR","MY-01","NA","NA","2001-03-01","2001-03-31","0","0-130","None specified","NA","NA","Malaysia Dengue Surveillance System","157"
"Dengue","38362002","Dengue virus","12637","0","MALAYSIA","MY","JOHOR","MY-01","NA","NA","2001-04-01","2001-04-30","0","0-130","None specified","NA","NA","Malaysia Dengue Surveillance System","180"
"Dengue","38362002","Dengue virus","12637","0","MALAYSIA","MY","JOHOR","MY-01","NA","NA","2001-05-01","2001-05-31","0","0-130","None specified","NA","NA","Malaysia Dengue Surveillance System","240"
"Dengue","38362002","Dengue virus","12637","0","MALAYSIA","MY","JOHOR","MY-01","NA","NA","2001-06-01","2001-06-30","0","0-130","None specified","NA","NA","Malaysia Dengue Surveillance System","261"
"Dengue","38362002","Dengue virus","12637","0","MALAYSIA","MY","JOHOR","MY-01","NA","NA","2001-07-01","2001-07-31","0","0-130","None specified","NA","NA","Malaysia Dengue Surveillance System","208"
"Dengue","38362002","Dengue virus","12637","0","MALAYSIA","MY","JOHOR","MY-01","NA","NA","2001-08-01","2001-08-31","0","0-130","None specified","NA","NA","Malaysia Dengue Surveillance System","225"
"Dengue","38362002","Dengue virus","12637","0","MALAYSIA","MY","JOHOR","MY-01","NA","NA","2001-09-01","2001-09-30","0","0-130","None specified","NA","NA","Malaysia Dengue Surveillance System","205"
"Dengue","38362002","Dengue virus","12637","0","MALAYSIA","MY","JOHOR","MY-01","NA","NA","2001-10-01","2001-10-31","0","0-130","None specified","NA","NA","Malaysia Dengue Surveillance System","267"
"Dengue","38362002","Dengue virus","12637","0","MALAYSIA","MY","JOHOR","MY-01","NA","NA","2001-11-01","2001-11-30","0","0-130","None specified","NA","NA","Malaysia Dengue Surveillance System","195"
"Dengue","38362002","Dengue virus","12637","0","MALAYSIA","MY","JOHOR","MY-01","NA","NA","2001-12-01","2001-12-31","0","0-130","None specified","NA","NA","Malaysia Dengue Surveillance System","171"
"Dengue","38362002","Dengue virus","12637","0","MALAYSIA","MY","JOHOR","MY-01","NA","NA","2002-01-01","2002-01-31","0","0-130","None specified","NA","NA","Malaysia Dengue Surveillance System","196"
"Dengue","38362002","Dengue virus","12637","0","MALAYSIA","MY","JOHOR","MY-01","NA","NA","2002-02-01","2002-02-28","0","0-130","None specified","NA","NA","Malaysia Dengue Surveillance System","153"
"Dengue","38362002","Dengue virus","12637","0","MALAYSIA","MY","JOHOR","MY-01","NA","NA","2002-03-01","2002-03-31","0","0-130","None specified","NA","NA","Malaysia Dengue Surveillance System","99"
"Dengue","38362002","Dengue virus","12637","0","MALAYSIA","MY","JOHOR","MY-01","NA","NA","2002-04-01","2002-04-30","0","0-130","None specified","NA","NA","Malaysia Dengue Surveillance System","108"
"Dengue","38362002","Dengue virus","12637","0","MALAYSIA","MY","JOHOR","MY-01","NA","NA","2002-05-01","2002-05-31","0","0-130","None specified","NA","NA","Malaysia Dengue Surveillance System","181"
"Dengue","38362002","Dengue virus","12637","0","MALAYSIA","MY","JOHOR","MY-01","NA","NA","2002-06-01","2002-06-30","0","0-130","None specified","NA","NA","Malaysia Dengue Surveillance System","195"
"Dengue","38362002","Dengue virus","12637","0","MALAYSIA","MY","JOHOR","MY-01","NA","NA","2002-07-01","2002-07-31","0","0-130","None specified","NA","NA","Malaysia Dengue Surveillance System","318"
"Dengue","38362002","Dengue virus","12637","0","MALAYSIA","MY","JOHOR","MY-01","NA","NA","2002-08-01","2002-08-31","0","0-130","None specified","NA","NA","Malaysia Dengue Surveillance System","301"
"Dengue","38362002","Dengue virus","12637","0","MALAYSIA","MY","JOHOR","MY-01","NA","NA","2002-09-01","2002-09-30","0","0-130","None specified","NA","NA","Malaysia Dengue Surveillance System","330"
"Dengue","38362002","Dengue virus","12637","0","MALAYSIA","MY","JOHOR","MY-01","NA","NA","2002-10-01","2002-10-31","0","0-130","None specified","NA","NA","Malaysia Dengue Surveillance System","613"
"Dengue","38362002","Dengue virus","12637","0","MALAYSIA","MY","JOHOR","MY-01","NA","NA","2002-11-01","2002-11-30","0","0-130","None specified","NA","NA","Malaysia Dengue Surveillance System","750"
"Dengue","38362002","Dengue virus","12637","0","MALAYSIA","MY","JOHOR","MY-01","NA","NA","2002-12-01","2002-12-31","0","0-130","None specified","NA","NA","Malaysia Dengue Surveillance System","708"
"Dengue","38362002","Dengue virus","12637","0","MALAYSIA","MY","JOHOR","MY-01","NA","NA","2003-01-01","2003-01-31","0","0-130","None specified","NA","NA","Malaysia Dengue Surveillance System","1046"
"Dengue","38362002","Dengue virus","12637","0","MALAYSIA","MY","JOHOR","MY-01","NA","NA","2003-02-01","2003-02-28","0","0-130","None specified","NA","NA","Malaysia Dengue Surveillance System","549"
"Dengue","38362002","Dengue virus","12637","0","MALAYSIA","MY","JOHOR","MY-01","NA","NA","2003-03-01","2003-03-31","0","0-130","None specified","NA","NA","Malaysia Dengue Surveillance System","276"
"Dengue","38362002","Dengue virus","12637","0","MALAYSIA","MY","JOHOR","MY-01","NA","NA","2003-04-01","2003-04-30","0","0-130","None specified","NA","NA","Malaysia Dengue Surveillance System","133"
"Dengue","38362002","Dengue virus","12637","0","MALAYSIA","MY","JOHOR","MY-01","NA","NA","2003-05-01","2003-05-31","0","0-130","None specified","NA","NA","Malaysia Dengue Surveillance System","183"
"Dengue","38362002","Dengue virus","12637","0","MALAYSIA","MY","JOHOR","MY-01","NA","NA","2003-06-01","2003-06-30","0","0-130","None specified","NA","NA","Malaysia Dengue Surveillance System","142"
"Dengue","38362002","Dengue virus","12637","0","MALAYSIA","MY","JOHOR","MY-01","NA","NA","2003-07-01","2003-07-31","0","0-130","None specified","NA","NA","Malaysia Dengue Surveillance System","159"
"Dengue","38362002","Dengue virus","12637","0","MALAYSIA","MY","JOHOR","MY-01","NA","NA","2003-08-01","2003-08-31","0","0-130","None specified","NA","NA","Malaysia Dengue Surveillance System","134"
"Dengue","38362002","Dengue virus","12637","0","MALAYSIA","MY","JOHOR","MY-01","NA","NA","2003-09-01","2003-09-30","0","0-130","None specified","NA","NA","Malaysia Dengue Surveillance System","108"
"Dengue","38362002","Dengue virus","12637","0","MALAYSIA","MY","JOHOR","MY-01","NA","NA","2003-10-01","2003-10-31","0","0-130","None specified","NA","NA","Malaysia Dengue Surveillance System","191"
"Dengue","38362002","Dengue virus","12637","0","MALAYSIA","MY","JOHOR","MY-01","NA","NA","2003-11-01","2003-11-30","0","0-130","None specified","NA","NA","Malaysia Dengue Surveillance System","165"
"Dengue","38362002","Dengue virus","12637","0","MALAYSIA","MY","JOHOR","MY-01","NA","NA","2003-12-01","2003-12-31","0","0-130","None specified","NA","NA","Malaysia Dengue Surveillance System","163"
"Dengue","38362002","Dengue virus","12637","0","MALAYSIA","MY","JOHOR","MY-01","NA","NA","2004-01-01","2004-01-31","0","0-130","None specified","NA","NA","Malaysia Dengue Surveillance System","175"
"Dengue","38362002","Dengue virus","12637","0","MALAYSIA","MY","JOHOR","MY-01","NA","NA","2004-02-01","2004-02-29","0","0-130","None specified","NA","NA","Malaysia Dengue Surveillance System","148"
"Dengue","38362002","Dengue virus","12637","0","MALAYSIA","MY","JOHOR","MY-01","NA","NA","2004-03-01","2004-03-31","0","0-130","None specified","NA","NA","Malaysia Dengue Surveillance System","168"
